reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,reviewTime,overall
A67OJZLHBBUQ9,B000068NSX,Charles F. Marks charlie marks,wanted it just on looks alone...It is a nice looking cord... I know it will perform...as for Sam Ash ...this cord was packed in a mailer inside another box with my Roc n Soc... his shipping team do great work..never any complaints from me... I love Sam Ash.. thanks Amazon,fender 18 ft. Cali clear...,1373328000,07 9 2013,Best
A2EZWZ8MBEDOLN,B000068NSX,Charlo,Ive been using these cables for more than 4 months and they are holding up pretty well.  For years I used seemingly indestructable guitar cables that were made for me by an electrician friend.  When they finally gave out I got in the habit of using the no-name cables that are always on display near the register at Guitar Center- really more of an impulse buy than something I put any thought into.  After the third or fourth Guitar Center cable failed from light use I decided to try these cables.  Not only are they cheaper but they seem to be holding up better.  I am not terribly hard on my gear but my cables tend to get twisted as I move around and the cheaper ones  eventually fail mid-cable.  I dont mind spending a few extra dollars if the cable is a little more durable.  This cable is actually cheaper- $12 or so shipped- and its holding up pretty well.  These are actually very reasonably priced for 18 cables.  There is some kind of limited life warantee on this product but I havent needed it.  Five stars for a nicely made 18 foot guitar cable that costs $12 shipped!Incidentally- these cables are shielded and are meant to connect your instrument to your amps input.  Do not use these to connect an amplifier to a speaker cab.  You want to use unshielded cables for that purpose.Edit-  More than 6 months has passed and this cable is functioning without any issues.  The price on these things has gone up significantly and although the cable is highly recommended there are probably better values from Hosa Monster or Planet Waves-,So far so good.  Will revisit at the 6 month mark ;),1363564800,03 18 2013,Best
A1CL807EOUPVP1,B000068NSX,GunHawk,Fender cords look great and work just as well. By adding the word California to the description Im sure to sound like the Beach Boys...,Add California to the name and I jump!,1375833600,08 7 2013,Best
A1GMWTGXW682GB,B000068NSX,MetalFan,This is a cool looking cheap cable which works well. I bent one of the connectors pretty badly but that was my fault. One thing to consider with the cable is to tighten the connectors once in awhile. Youll be able to hear them rattle. It seems that the retro look is screw on connectors over some black rubber but other than that the cable looks cool and works well.I also have the shorter red cable which goes with one of my guitars perfectly. I bought theses to use while practicing with others who use black cables. Its easier to plug into different amps without cutting someone out by accident. The green cable is good for that.,Cheap and cool looking good length,1331856000,03 16 2012,Good
A2G12DY50U700V,B000068NSX,Ricky Shows,The Fender 18 Feet California Clear Instrument Cable - Lake Placid Blue  is a very good extra cord for a good price.,Fender 18 Feet California Clear Instrument Cable - Lake Placid Blue,1390953600,01 29 2014,Best
A3E0CF25A7LD2,B000068NSX,WBowie,Very good cable. Well made and it looks great with my Candy Apple Red Tele. The reason I gave it only 4 stars is because it tends not to lay flat on the floor.,Guitar Cable,1354924800,12 8 2012,Good
A2W3CLAYZLDPTV,B000068NTU,Amazon Customer =Chris=,Got this cable to run a rockband keyboard controller to my M-audio profire 2626 to control midi in Pro Tools. Works great! Firm fit solidly molded ends reputable branded cable.(a bit on the thin side but i havent seen to have any issue due to this or anything. Couldnt go wrong for $5 at the time of my purchase and prime eligibility.,Quality cable!,1341446400,07 5 2012,Best
A398X9POBHK69N,B000068NTU,Ann Vande Zande,When I was searching for MIDI cables for my ART X-15 foot controller I came across these Hosa ones and they were $2 dollars each! As they are now $6 I realize I would still be happy with that price as well as they are high quality plastic and metal connectors and work flawlessly. You must realize that they are only 5 feet as I overestimated it and now wish they were longer. For any connection from racked sound modules this will be perfect.,I Got Great Pricing But Still a Really Good Product,1383177600,10 31 2013,Best
AXWB93VKVML6K,B000068NTU,Michael Hassey,Cant go wrong. Great quality on a budget price  - Hosa is the go to when you need to hook things up,Its a Hosa,1372809600,07 3 2013,Good
A2FZ4Z0UFA1OR8,B000068NTU,Pat,The ends of the midi cable look and feel like quality. Connection is secure no worries about uneven connections it also detaches without a hitch. Highly recommended.,Quality and Secure,1327449600,01 25 2012,Best
AXP9CF1UTFRSU,B000068NTU,tada,Just trying to find a midi to midi was a task and you have to make sure the pin config is correct.  This one is a good product and works just fine,Midi to Midi,1381795200,10 15 2013,Best
A2CCGGDGZ694CT,B000068NVI,b carney,The Hosa XLR cables are affordable and very heavily made.I have a large mixer and rack and cables everywhere.I decided to purchase shorter cables and the Hosa cables 5ft measurement worked perfectly.You really will not be disappointed with these.,Very Heavy Cables At Affordable Price,1341964800,07 11 2012,Good
A27DR1VO079F1V,B000068NVI,Dan Edman,I bought these to go from my board to the amp. We use them for a mobile church so they take a beating. They are still going strong.,Still going,1392768000,02 19 2014,Best
A1LQC225SE8UNI,B000068NVI,David Burch,Sturdy cord and plugs inexpensive good value. I dont require professional-level equipment so this cord serves my purposes well. Satisfied with purchase.,Does what its supposed to do,1337990400,05 26 2012,Best
AU9BPT3Y3K6J4,B000068NVI,G. L. Beebe,Use it every week at gigs.  Solid no problems with the solder joints.  A good quality cable at a very good price.,Good cable,1376092800,08 10 2013,Best
A14Z9LAETO21KL,B000068NVI,Gutjammer,Hosa products are a good bang for the buck. I havent looked up the specifications but Im guessing the wire is 22 to 24 AWG but since its only 10 long its good enough.,Good Enough,1394496000,03 11 2014,Good
A2074KEJGRYJV4,B000068NVI,hcross,This was exactly what I was after. I have a voice touch and needed a small cord to connect the mic to the voice touch and this was perfect. Before I used a 20 foot cord to go about 12 inches. I highly recommend this for those who keep the mic on a stand and have a voice touch or other stand connected device for vocals.,Great little cord,1379289600,09 16 2013,Best
A7TRK2GG6BHWD,B000068NVI,Johnny Pasta Johnny Pasta,I bought these because I really had too long of mike cords for my solo live show. And these are really nice cords if you have a home portastudio recording studio like myself. Who needs all the spaghetti to trip on all over the place? I bought two because I use a Digitech Live 2 Harmony processor and two XLR mike cords are required to make it operational. Good price here too. Hard to find just 10 mike cords. Usually longer ones are only obtainable.,Does the job. What more do you need?,1325808000,01 6 2012,Best
A319B090A2POEB,B000068NVI,Lee,This cable seems like it will last me for a while. As it is only being used to connect a DI box it will not get abused as much as the vocal mics always do.,Decent mic cable,1329004800,02 12 2012,Good
A396ELNTQDFYPO,B000068NVI,Mark King,These are not the greatest but theyre cheap and they get to you fast when you need them. Ive only had one fail and Ive bought many of them to use in our broadcast studio.Amazon is the first place I go when I need cables for audio video computers or concert lighting.Good music to all!,Decent inexpensive cable,1379289600,09 16 2013,Good
A17CU1D2CWXOHB,B000068NVI,Rick,This is a fine cable at a decent price point nothing exceptional mind but it gets the job done well enough.,a fine cable.,1387065600,12 15 2013,Good
A1S0HTDO0P4N5V,B000068NVI,R. Wristen The Party Doc VJ and Karaoke,Ive used a lot of cables and I always come back to HOSA they are indeed some of the best audio cables in their price range on the market.,Hosa is the best,1379376000,09 17 2013,Best
A3DWQW2L39RB1S,B000068NVI,S. Dawdy,I bought this cord after returning a cheap one that I shouldve known better than to buy. My son who has some experience as a musician recommended the Hosa brand when I was seeking a proper replacement.I bought it for a small home recording setup which includes a Behringer C-1 Condenser Microphone and a Behringer Xenyx 302 Mixer and both ends make a reliable connection to both the board and the mic; the sound quality is excellent.An excellent value for the money.,Excellent quality exactly what I needed,1355443200,12 14 2012,Good
AQQ91U1U4YKDF,B000068NVI,Vince Lewis Vince,Nice solid cables with excellent support at the ends.  Should last a lifetime of usage no problem and just what I needed to connect my tube preamp.,great value,1372464000,06 29 2013,Best
AA5TINW2RJ195,B000068NW5,,Good quality cable and sounds very good,Five Stars,1405382400,07 15 2014,Best
ABC68JUCPTVOE,B000068NW5,A. Fabbri afabbri,Zero issues with this cable so far.  It feels fairly cheap and light weight but it has survived for months of plugging in unplugging and packing between practice spaces.Ill update this review if/when it breaks.,Pretty cheap cable that has lasted so far,1333152000,03 31 2012,Best
A3W2E6S24BTXXK,B000068NW5,airchamp ariel,Realtively inexpensive patch cable for electric guitar.I have had it for a few months and so far it has held up pretty well,very nice cable,1401235200,05 28 2014,Best
A3872Y2XH0YDX1,B000068NW5,Amazon Customer,I bought this because I wanted a cheap replacement cable for one that had a short. Im pleasantly surprised with this cable. Its decent sound and decent build quality for a good price.,Nice guitar cable even better price,1363132800,03 13 2013,Best
A398X9POBHK69N,B000068NW5,Ann Vande Zande,This is a very nice cable for the price. I already bent one end of it though fortunately it still works fine. Inside the phono connector the wires are covered by white shrink plastic. Havent noticed any hum or crackles. For sure a good buy.,Does What You Want,1388966400,01 6 2014,Good
A13A81NN0NRD1S,B000068NW5,aspiring saint TATITTLE,Cheap and good texture rubber that does not get stiff.  Only time will tell how well the soldering is.  Sounds fine to me.,flexible soft rubber is great.,1290038400,11 18 2010,Good
A1EUO0BU72JR7T,B000068NW5,Bilbo,Seems sturdy enough and no noise issues so Im pretty much satified with it; it doesnt leave the house so Im not asking it to handle a lot but with reasonable care it should last a while.,Works wonderfully no noise,1372291200,06 27 2013,Best
A1H4WSC8JWS59N,B000068NW5,bradley,Im not a professional but have been playing for many many years.  This is the best cord Ive ever had though Im sure Eric Clapton has something better.,excellent,1359504000,01 30 2013,Best
A3OXHLG6DIBRW8,B000068NW5,C. Hill CFH,This Hosa Cable is very well made with good quality connectors and a nice long length. My son is expanding his collection of amps and effects pedals so needed additional cables to get everything connected. This 25 cable gives him flexibility to move around and it is sturdy enough that it can take being stepped on and pulled around.The cable works well and is a good value for a decent quality cable.Highly Recommended!CFH,Great Guitar Cable Good Value - Highly Recommended,1346803200,09 5 2012,Best
A12ABV9NU02O29,B000068NW5,C. Longo,I didnt expect this cable to be so thin. Its easily 1/2 the thickness of any guitar cable Ive used. Not sure about long-term durability or signal loss/interference. If I had the foresight Id spend a couple extra bucks on a thicker cable.  Still it works and was inexpensive.EDIT: 6 months later and its dead already.  Wire frayed at the right angle jack.  You get what you pay for.,Cannot recommend,1309910400,07 6 2011,Bad
A2U1Z3TZ4P76JB,B000068NW5,C. Zemer,Bought this for my daughter along with her new guitar. It seems to work well no issues in the first couple of weeks.,Cable works as described,1393977600,03 5 2014,Best
A1L7M2JXN4EZCR,B000068NW5,David G,It hums crackles and I think Im having problems with my equipment.  As soon as I use any of my other cords then the problem is gone.  Hosa makes some other products that have good value.  But based on my experience I dont recommend this one.,I have bought many cables and this one is the only one that gives me problems,1391904000,02 9 2014,Worst
A37A41GWQFMK3D,B000068NW5,Dr. Freud,I am not hard on cables.  I typically just plug them in to my guitar dont move around much and play for an hour or two a day.  this one seem to perform just fine.  no buzz and/or other noises noted.  I have several of them and they have all performed well.,gets the job done,1370649600,06 8 2013,Good
A2JK2ITE138P7Z,B000068NW5,Dr. Marc,I have found Hosa cables to be an excellent value. More expensive cables may be more rugged but for the price Im very happy with the Hosas I have purchased.,Nice cable for the price,1399939200,05 13 2014,Best
A1DVUFG2QSJ6IK,B000068NW5,grandpa Randy,This is good cable. Excellent 1/4&#34; plugs. The lugs and solder joints are covered with heat shrink material which will hold everything in place for years. Grade A+ cable at a very affordable price. Definitely  going back for more. The 25 ft. cable was only a couple dollars more than 10 ft.,Well made audio cable,1381190400,10 8 2013,Best
A34VZEFXQJJ7AT,B000068NW5,Guitarslim,Pretty crappy cable. It works and gets the job done but after purchasing this product and using it I will shell out the extra bucks for better quality.,Eh,1374710400,07 25 2013,Best
A1SD1C8XK3Z3V1,B000068NW5,guitfiddleblue guitfiddleblue,I use this cord in my church to run from my pedalboard to my amp (which is in a soundproof box). The cord is reliable and clean sounding. I like it and have used HOSA products in the past with confidence. Excellent cord. Hopefully this review will be usefull to you.,great affordable cord,1392163200,02 12 2014,Best
AKHWZ3S1UVZAO,B000068NW5,Hagen LeBray,This my second Hosa guitar cable.  (The other one is shorter.)  Like my first Hosa cable this is a high quality item.  Id definitely buy more cables of this brand.,Nice Cable,1397779200,04 18 2014,Good
A3LNNEYLGGCO25,B000068NW5,Hans R,Works for practice ... its a guitar instrument cable what can I say ... maybe not the best but it serves its purpose.,maybe not the best but it serves its purpose,1404518400,07 5 2014,Average
AMACM7BGUQCZD,B000068NW5,IBZANE,These cables have taken a beating the last few months and have served me well with no problems..Real metal ends not molded on with high quality silicone jackets and strain reliefs at the connectors..,High quality low cost,1390521600,01 24 2014,Best
A38HMS5RYSYF8G,B000068NW5,James I Van Asten,In my opinion it does not hurt to have extra guitar cables around. From experience they tend to just die without notice. I have a feeling this one will last a long time. It is built sturdy and sounds really good.I recommend this product.,works as advertised....,1389571200,01 13 2014,Best
A6D91KPQGIDKZ,B000068NW5,Jim R. Photo man,Hosa guitar cables work great. Never had any problems with them. I own several of different lengths and they all sound perfect.,Good cables,1343001600,07 23 2012,Best
A2RCCN4KEXZGC8,B000068NW5,Joe Average Joe Average,This product does exactly what it is supposed to do at a decent price.  I have absolutely no complaints.  This is my first experience with the brand and I am not disappointed.,No Complaints,1377388800,08 25 2013,Best
A3GAP455S8YH0M,B000068NW5,Joes Gadgets JOE H.,Good quality guitar cord.Very low noise repairable effective strain releafthick rubber cover!! This is a great buy under 10 bucks for a quality cord.Of course I just got it..it might not be durable but it looks durable.If I change my mind about anything I will update my review.For now I would say buy one!!Joe,Good Quality,1373068800,07 6 2013,Best
A1N06X05VZWO5Y,B000068NW5,Joe Toland,This is a good solid cable with no problems. When Im on stage I like a longer cable but at practice I dont need all the extra length tangleing up on everything...,Perfect for practice!,1391385600,02 3 2014,Best
A3TA1UJWRJF9NC,B000068NW5,jschristian44,This guitar cable is very nice.  It looks high quality and has the white ends.  Fantastic deal for this cable.,Nice high quality guitar cable,1293580800,12 29 2010,Best
A3VPISTBNS66C5,B000068NW5,k2review,Good product at a good price. Have used it multiple times and works well with my guitar and speaker. Great to have when friends come over to jam.,Works well,1359072000,01 25 2013,Good
A1E5FQZTUM8OC1,B000068NW5,Kenwood,This item is well built and I like the terminal ends and how they have the spring built in. These arent going to be the most durable road cables but for home and light road use they will work well.,Well built cable,1373846400,07 15 2013,Best
A3MYWHYZ30WLQJ,B000068NW5,kyle c.,This amp plug is great for the price its 10 ft long the perfect size for jammin at home and it has a quality look to it aesthetically totally worth the price,pperfect amp chord.for home use,1377734400,08 29 2013,Best
A1FHOW9NVOH8XR,B000068NW5,Lee,Hosa Cable GTR210 Guitar Instrument Cable - 10ft. is a High quality Instrument Cable but low cost wont break the bank. Im very satisfied with my purchase.,Hosa Cable GTR210 Guitar Instrument Cable - 10ft.,1359936000,02 4 2013,Best
A319B090A2POEB,B000068NW5,Lee,...unbalanced guitar cable is notoriously noisy especially around florescent lights. These are no different. I would prefer to use cables with better shielding but cannot justify the expense considering how rarely these things get used.,Standard guitar cable,1329004800,02 12 2012,Average
A2VH0UT5EQFB6P,B000068NW5,Loveguitar,This is your basic black electric guitar cable but it works great.  So far the connections at both ends are solid and the sound from the amp is great!  Nice and rubbery and 10 feet is long enough.  If problems arise later with this cable I will update this review but as of now there has been no problems whatsoever with this cable.,Hosa Electric Guitar Cable GTR210,1389830400,01 16 2014,Best
A396ELNTQDFYPO,B000068NW5,Mark King,Hosa cable quality can be all over the place some of their products are good (sound good reliable long lasting) and some of their products are not good (affect sound negatively break prematurely short useful life span).These guitar cords are actually quite nice they feel good (gooey soft rubber jacket like Mogami) they sound good and so far they are working reliably the rubber jacket is about .25&#34; in diameter (by eye) and there is a short heat shrink overwrap to add strength where the wire enters the plug.I bought these when I needed cables fast for an internet concert we had lots of pedals and signal splits to connect up. These cables arrived in good working condition and weve been using them continuously since.We have over a dozen tube amps and are very particular about sound degradation but so far these cables have not disappointed anyone.I would buy more if I needed them.,So Far So Good,1358726400,01 21 2013,Good
A2WYAHJGST6AOT,B000068NW5,Matt,Its a cable no frills tangles pretty easy and due to its design it might rattle a little when you move around but it works like it should,average cable,1393372800,02 26 2014,Average
A781ITP3HE2N5,B000068NW5,Michael Livote dragon2knight,I never really considered a cheaper cable I was always taught to get the best I could afford. When this showed up in a cable search on amazon I jumped on it. I figured I had nothing to lose.To my surprise this is an excellent cable with good build quality and a strong thick jacket that inspires confidence. The sound through it is identical to my Monster cables and it cost one quarter the price....hmmmm guess I should have tried to figure this out myself instead of listening to &#34;snobs&#34; for so many years. I will never do that again.This is worth the money twice over try it out for yourself and kiss overpriced cables goodbye!,Good quality low price,1380844800,10 4 2013,Best
AN73VQ17FZVJ8,B000068NW5,MJK,One end was loose so I tightened it it keeps coming loose so I had to put a dab of crazy glue on the threads hope I dont ever have to open the end for repair.,Good for the Price,1371168000,06 14 2013,Average
ALUTHT4U058KZ,B000068NW5,M. M. Jackson,For the price fantastic.They do feel light and I dont trust the build quality at the key stress points (where cable meets connector) but then again I am not going to push it.Set your guitar down on it by accident when its plugged in and...who knows.But for seven bucks it gets the job done. Recommended if you are doing the beginner thing and testing the waters.Otherwise spend a few more bucks for something with higher chances of lasting.,Feel a little flimsy and can see easily breaking but the work,1334620800,04 17 2012,Good
A1A15ECLHM9BQY,B000068NW5,Nick,Hosa makes good stuff this is no exception. Ive trusted them for years I cant think if a single Hosa cable Ive owned thats failed.,Excellent,1404950400,07 10 2014,Best
A1S8R9OAIQT7YI,B000068NW5,patriotsarebest,Only complaint is the size which is my fault. If you can buy at least a 15 foot if you plan to use it on stage.,Only complaint is the size which is my fault. ...,1403913600,06 28 2014,Good
A3RHT4KI3H5TVH,B000068NW5,pops,Hard to day too much but it works great. No issues to speak of. It does the job perfectly well,worth it,1379894400,09 23 2013,Best
AVY8D3ULJTX0H,B000068NW5,P. Panehal,For the price this works really well. I see no faults. It can unscrew pretty easily but this is hardly a problem right now.,Works,1357603200,01 8 2013,Best
A15BHBF0L0HV1F,B000068NW5,Quaestor Raoul Duke,This cable disproves the notion that you get what you pay for. Its quality outweighs its price. Lets face it a cable is a cable is a cable. But the quality of these cables can vary greatly. I replaced a lighter cable with this one and I was surprised at the difference in the quality of the sound from my amp. I have an Ibanez ART series guitar into an Ibanez 15 watt amp set up in my home. With nothing changed but the cable there was a significant difference in quality and volume. So much so that I checked with my guitar teacher who said he was not surprised. The quality appears good. The ends are heavy duty and the little bit of hum I had due to the proximity of everything was attenuated to the point where it was inconsequential. Ive seen more expensive cables and this one is (so far) great.Hosa GTR210 Guitar Cable 10 Ft,Good quality great price,1320192000,11 2 2011,Best
A1AFN4T80DZ3RR,B000068NW5,Quique,I was looking for a long cable to perform live with my band and im glad with HOSA quality. It feels reliable and without adding noise.,Very good quality for an excellent price,1383868800,11 8 2013,Best
A3DCG2MNPR4BW,B000068NW5,RAYON ORMOND,These are Good cables at a good price!! Not sure they would hold up to heavy use but for practicing at home they are really great!,Good cables at a good price!!,1369180800,05 22 2013,Best
A3NGAQKJ6X088B,B000068NW5,R. Beckmeyer Positively Positive,very sturdy high quality with little to no feedback i use it for performing for my friends and they all love it,works well great quality,1402876800,06 16 2014,Best
A35XRT4BW4I6UD,B000068NW5,Richard R. Casper,Unless youre going to go for the very top of the line most expensive professional chords these will do for any medium sized venue.,Great Value,1346976000,09 7 2012,Best
AKYDGCKCY7H9F,B000068NW5,R. W. Milyard GearJunky,I have many lengths of these Hosa cables and have neverhad a problem with them.I am not an active musician so have not put any of them throughthe riggers of what happens on stage; so I cannot comment on thistype of usage.In my over 40 years (10 of them on stage) I have come to realize thatyou should ALWAYS have extra cables (just like strings) with you aseven the most expensive cables will sometimes let you down.,Good cables,1381363200,10 10 2013,Best
A19NGYCQ1NCF3W,B000068NW5,S. Haney,Ive been using these for about 3 weeks now - they are strong but flexible and dont seem to develop kinks or bending habits if you roll them up the proper way.Ive seen and used some better cables but not at this price point.  And Ive certainly seen quite a few worse!  This is a pretty good sweet spot in my opinion.,Very Solid Cables,1295568000,01 21 2011,Good
A3UD50M7M72150,B000068NW5,synthezatory,Im a pro-cheapo and I hated this thing. Theyre noisy and the cables feel really cheap gummy-like. Drop few more bucks and get something else!,Crap,1394755200,03 14 2014,Worst
A2B78RXJ2PB6ZD,B000068NW5,Tom,Works great on my 100 watt Amp. Almost compares to a monster cable. And with Its length Its plenty of Room from your Guitar to amp. GOOD PRODUCT!,Works Good. No complaints!!!,1328313600,02 4 2012,Best
A18RGYRCEN181M,B000068NW5,Truvor,Good cable as good as any expensive brand. Thick a bit stiff and seems to be shielded. No complaints at all.,Good guitar cable,1386633600,12 10 2013,Best
A18LZ6VHS4DK69,B000068NW5,Wesley Newell,I own lots of hosa cables they are cheap and quality is there. Ive only recieved one bad cable out of around 50 or so. I use a lot of these guys and if they work when you get them they havnt failed yet.,hosa rocks,1360886400,02 15 2013,Best
AQG6AQXC703WD,B000068NZC,Bob,It is a decent cable. It does its job but it leaves much to be desired as far as structural integrity is concerned. The mating part of the connector jiggles back and forth. The switch is also loose. The connector will move around 2mm out of the microphone without the switch being pressed.I would not recommend using this cable for critical applications. It would be more suited to home or hobby use.,Does Its Job,1395792000,03 26 2014,Average
A2YGWCX3DQ6ER0,B000068NZC,Christian Morales,the cable is great for connecting directly to the computer microphone to record live without a console or mixer...... its great  i recomended,good for direct connect to computer,1372550400,06 30 2013,Best
A21VM9WVF8EOSJ,B000068NZC,J. Warren NiALTA,Bought this to hook up a Beta 58 to a Panasonic G2 DSLR and a Kodak Zi8 for interviews. Works the way its supposed to. 90 degree TRS is a nice touch. Good price.,Does what it was intended for,1323129600,12 6 2011,Best
A3M48SSAOTBSMW,B000068NZC,L. Rapoport lenrapp,Just received this cord and it seems to work as expected. What can you say about an adapter cord?  It is well made good construction and sound from my DSLR with my mic is superb.,Works as expected,1335312000,04 25 2012,Best
AFLRU6952DEFX,B000068NZC,S.,If youre like me you probably bought this to hook up an XLR microphone to a digital recorder or a PC.It works fine for the handy type recorders.But forget hooking this directly to a PC.  Way too much noise.,Good for some uses,1396828800,04 7 2014,Good
A1W3CEEQBJ4GTN,B000068NZC,S. Marchuk,I bought this for my Canon Vixia HF G10 Video Camera and a Shotgun Mic that I recently purchased for it. I needed a 12&#34; wire for it to be a perfect fit from my mic (which is mounted on the Mini Advanced Shoe) to the microphone plug on the Video Camera...The wire on this thing is *not* 1 foot long. the actual wire is under 8&#34; long itself. I would have returned this thing but it was cheap enough that it wasnt worth the hassle... Id have rated it 1 star but I tried it on my Nikon D3200 (Shoe mounted Shotgun Mike) and it worked out ok. Still a tight fit though (since theres only 8&#34; of wire)...Id recommend anyone looking for a short cable go with a 2 adapter; worst case scenario you can zip-tie a loop instead of getting angry that it doesnt fit.Also not sure if its the wire (so this didnt affect stars) but I hear a hiss when recording. Again; unsure if its the way the wires are stretched out to the max on the DSLR or not (or my shotgun mic).,Measure your damned wires before sending them...,1379289600,09 16 2013,Bad
AXP9CF1UTFRSU,B000068NZC,tada,Well made XLR 3 pin adaptor to mini.  Needed to get a real XLR mic into the computer and this did the job.,Recommend,1369526400,05 26 2013,Best
A1IR3NR4KRPIJ1,B000068NZG,Jason Lewis,The listing for this item can be confusing if you are not sure what stereo XLR is.  Stereo XLR is meant to be similar to your stereo headphones where left and right are separate unbalanced wires.  This cable is configured to be a stereo unbalanced XLR to a stereo unbalanced TRS cable.  This item is not a mono balanced XLR to a stereo unbalanced mic cable.A little bit a soldering can fix this connector by moving the red wire from ping #3 to pin #2 with the white wire.  Pin #3 then ties to pin #1 with the ground wire.,Product shipd as expected but the listing for this item can be confusing,1371686400,06 20 2013,Best
A2NYK9KWFMJV4Y,B000068NZG,Mike Tarrani Jazz Drummer,First the reasons why I awarded this five stars: the construction is uniformly excellent. Both ends have strain reliefs the 1/8 connecter perfectly mates with the plug into which I insert it and the XLR end is a quality component.I purchased this specifically to transform the third channels in myPowerwerks 50 Watt Personal P.A. Systeminto something more useable. This greatly expands the functionality and versatility of the portable PA by allowing me to plug in another mic. Since I have three of those units daisychained I was able to significantly enhance the entire system with this simple adapter.Another reason why I love this is its noise free. In some environments in which I play there are sources of electromagnetic interference that cheap cables will pick up and transmit. I have not had that problem with this one so its another plus.Overall I am very pleased with this adapter and actually purchased a spare in case I damage or lose my primary one. Its a bit pricier than others I considered but I feel that the quality and peace of mind are worth the premium.,Solved a big issue for me,1372118400,06 25 2013,Best
